,Quarter,Banks,Gross Advances_Domestic Operation,Gross NPAs_Domestic Operation,Gross NPAs to Gross Advances (%)_Domestic Operation,Food Credit - Gross Advances_Domestic Operation,Food Credit - GNPAs_Domestic Operation,Food Credit - GNPA Ratio_Domestic Operation,Non-Food Credit - Gross Advances_Domestic Operation,Non-Food Credit - GNPAs_Domestic Operation,Non-Food Credit - GNPA Ratio_Domestic Operation,Agriculture and Allied Activities - Gross Advances_Domestic Operation,Agriculture and Allied Activities - Gross NPAs_Domestic Operation,Agriculture and Allied Activities - GNPA Ratio_Domestic Operation,Industry - Gross Advances_Domestic Operation,Industry - Gross NPAs_Domestic Operation,Industry - GNPA Ratio_Domestic Operation,Services - Gross Advances_Domestic Operation,Services  - Gross NPAs_Domestic Operation,Services - GNPA Ratio_Domestic Operation,Retail Loans - Gross Advances_Domestic Operation,Retail Loans - Gross NPAs_Domestic Operation,Retail Loans - GNPA Ratio_Domestic Operation,Other Non-food Credit - Gross Advances_Domestic Operation,Other Non-food Credit - GNPAs_Domestic Operation,Other Non-food Credit - GNPA Ratio_Domestic Operation,Retail Loans - Housing Loans  - Gross Advances_Domestic Operation,Retail Loans - Housing Loans  - GNPAs_Domestic Operation,Retail Loans - Housing Loans  - GNPA Ratio_Domestic Operation,Retail Loans - Vehicle/Auto Loans - Gross Advances_Domestic Operation,Retail Loans - Vehicle/Auto Loans - GNPAs_Domestic Operation,Retail Loans - Vehicle/Auto Loans - GNPA Ratio_Domestic Operation,Retail Loans - Credit Card Receivables - Gross Advances_Domestic Operation,Retail Loans - Credit Card Receivables - GNPAs_Domestic Operation,Retail Loans - Credit Card Receivables - GNPA Ratio_Domestic Operation,Retail Loans - Education - Gross Advances_Domestic Operation,Retail Loans - Education - GNPAs_Domestic Operation,Retail Loans - Education - GNPA Ratio_Domestic Operation,Other Retail Loans - Gross Advances_Domestic Operation,Other Retail Loans - GNPAs_Domestic Operation,Other Retail Loans - GNPA Ratio_Domestic Operation,Foreign_Dummy,Private_Dummy,Public_Dummy,Small_Finance_Dummy
133,2012Q3,INDUSIND BANK LTD,397224000000,4095200000,1.030955,,,,15800000,,,,,,,,,7600000,,,197725100000,2228900000,1.127272,,,,903800000,121300000,13.421111,193629900000,1952500000,1.008367,3084400000,72600000,2.35378,8200000,,,98800000,82500000,83.502024291498,0,1,0,0
134,2012Q3,ING VYSYA BANK LTD,301921410000,1917917000,0.635237,,,,108276000,,,,,,,,,0,,,56442715000,95122000,0.168528,,,,47655277000,76107000,0.159703,327292000,226000,0.069051,0,0,,108276000,,,8351870000,18789000,0.224967582110354,0,1,0,0
135,2012Q3,JAMMU & KASHMIR BANK LTD,347683900000,5516400000,1.586614,,,,,,,,,,,,,,,,59710900000,936500000,1.56839,,,,11552300000,262500000,2.272275,10154500000,67900000,0.668669,427200000,59100000,13.83427,,,,37576900000,547000000,1.45568154903678,0,1,0,0
136,2012Q3,KARNATAKA BANK LTD,226386535000,7294230000,3.222025,,,,4109600000,,,,,,,,,0,,,55861770000,538624000,0.964209,,,,19548516000,225089000,1.151438,7530895000,154784000,2.05532,0,0,,4109600000,,,24672759000,158751000,0.643426217554348,0,1,0,0
137,2012Q3,KARUR VYSYA BANK LTD,256771914000,3227431000,1.256925,,,,1237019000,,,,,,,,,0,,,30765831000,383628000,1.246929,,,,8456487000,83757000,0.990447,9864515000,128663000,1.304301,0,0,,1237019000,,,11207810000,171208000,1.52757764451753,0,1,0,0
138,2012Q3,KOTAK MAHINDRA BANK LTD.,458376633000,7398670000,1.614103,,,,,,,,,,,,,,,,277570950000,3643842000,1.312761,,,,49702894000,223083000,0.448833,106852724000,2473996000,2.315333,2789028000,95465000,3.422877,,,,118226304000,851298000,0.720058033785781,0,1,0,0
139,2012Q3,LAKSHMI VILAS BANK LTD,109059050000,4906153000,4.498621,,,,965719000,,,,,,,,,91827000,,,3116569000,339641000,10.897914,,,,2127806000,66386000,3.119927,417781000,5325000,1.274591,0,0,,873892000,,,-302910000,267930000,-88.4520154501337,0,1,0,0
140,2012Q3,NAINITAL BANK LTD,19784515000,624493000,3.156474,,,,177771000,,,,,,,,,0,,,5160854000,98506000,1.908715,,,,2646585000,61613000,2.328019,1104625000,13904000,1.258708,0,0,,177771000,,,1231873000,22989000,1.86618263408647,0,1,0,0
141,2012Q3,RBL BANK LIMITED,45955709000,340170000,0.740213,,,,11838000,,,,,,,,,0,,,894621000,17244000,1.92752,,,,638475000,6558000,1.027135,232001000,6450000,2.78016,0,0,,11838000,,,12307000,4236000,34.4194360932802,0,1,0,0
142,2012Q3,SOUTH INDIAN BANK LTD,284209865000,4957858000,1.744436,,,,1425400000,,,,,,,,,0,,,67906939000,800137000,1.178285,,,,15307513000,360975000,2.358156,1639217000,16116000,0.983152,0,0,,1425400000,,,49534809000,423046000,0.854037814095538,0,1,0,0
143,2012Q3,TAMILNAD MERCANTILE BANK LTD,153408267000,2334107000,1.5215,,,,,,,,,,,,,,,,32166864000,2252677000,7.003098,,,,10971945000,114151000,1.04039,2975995000,192634000,6.472928,572000,216000,37.762238,,,,18218352000,1945676000,10.6797585204194,0,1,0,0
144,2012Q3,THE DHANALAKSHMI BANK LTD,76252300000,2726018000,3.574998,,,,,,,,,,,,,,,,30386747000,711982000,2.343068,,,,3386166000,143433000,4.235853,5408695000,309236000,5.717387,21696000,2581000,11.896202,,,,21570190000,256732000,1.19021668330228,0,1,0,0
145,2012Q3,YES BANK LTD.,421019500000,1028200000,0.244217,,,,1437900000,,,,,,,,,1437900000,,,1328300000,0,0,,,,62500000,0,0,643500000,0,0,0,0,,0,,,622300000,0,0,0,1,0,0
146,2012Q3,ALLAHABAD BANK,1070183808000,33086328000,3.091649,,,,18161500000,,,,,,,,,5801500000,,,157108100000,7690500000,4.895037,,,,38027600000,1965100000,5.167563,8047400000,419200000,5.209136,0,0,,12360000000,,,98673100000,5306200000,5.37755477430019,0,0,1,0
147,2012Q3,ANDHRA BANK,864820700000,30137900000,3.484873,,,,21363100000,,,,,,,,,6591000000,,,116755900000,3957000000,3.389122,,,,52549100000,1662300000,3.163327,3952900000,140800000,3.561942,958800000,71900000,7.498957,14772100000,,,44523000000,2082000000,4.67623475507041,0,0,1,0
148,2012Q3,BANK OF BARODA,2026230798000,52854285000,2.608503,,,,54267820000,,,,,,,,,34665049000,,,341142513000,6534700000,1.915534,,,,147242319000,2300067000,1.562096,25700546000,593851000,2.310655,0,0,,19602771000,,,148596877000,3640782000,2.45010667350701,0,0,1,0
149,2012Q3,BANK OF INDIA,1825259000000,75492900000,4.13601,,,,66671454000,,,,,,,,,43107079000,,,159237300000,8426500000,5.291788,,,,88107200000,3439000000,3.9032,16940700000,571100000,3.371171,37600000,35900000,95.478723,23564375000,,,30587425000,4380500000,14.3212447598972,0,0,1,0
