,index,Industries (2.1 to 2.19)(2 ),Mining & Quarrying (incl. Coal)(2.1  ),Food Processing(2.2  ),Sugar(2.2.1  ),Edible Oils & Vanaspati(2.2.2  ),Tea(2.2.3  ),Others(2.2.4  ),Beverage & Tobacco(2.3  ),Textiles(2.4  ),Cotton Textiles(2.4.1  ),Jute Textiles(2.4.2  ),Man-Made Textiles(2.4.3  ),Other Textiles(2.4.4  ),Leather & Leather Products(2.5  ),Wood & Wood Products(2.6  ),Paper & Paper Products(2.7  ),"Petroleum, Coal Products & Nuclear Fuels(2.8  )",Chemicals & Chemical Products(2.9  ),Fertiliser(2.9.1  ),Drugs & Pharmaceuticals(2.9.2  ),Petro Chemicals(2.9.3  ),Others(2.9.4  ),Glass & Glassware(2.11  ),"Rubber, Plastic & their Products(2.10  )",Cement & Cement Products(2.12  ),Basic Metal & Metal Product(2.13  ),Iron & Steel(2.13.1  ),Other Metal & Metal Product(2.13.2  ),All Engineering(2.14  ),Electronics(2.14.1  ),Others(2.14.2  ),"Vehicles, Vehicle Parts & Transport Equipment(2.15  )",Gems & Jewellery(2.16  ),Construction(2.17  ),Infrastructure(2.18  ),Power(2.18.1  ),Telecommunications(2.18.2  ),Roads(2.18.3  ),Airports(2.18.4 ),Ports(2.18.5 ),Railways(2.18.6 ),Other Infrastructure(2.18.7),Other Industries(2.19  )
0,"June,  29 2012",,334850000000,927360000000,297930000000,124530000000,22160000000,482740000000,146490000000,1613790000000,829550000000,17060000000,157570000000,609620000000,82070000000,66170000000,257340000000,619990000000,1316420000000,121420000000,460160000000,400190000000,334650000000,67020000000,298630000000,376620000000,2661660000000,2007240000000,654420000000,1164320000000,273050000000,891270000000,560140000000,535690000000,497510000000,6484470000000,3419000000000,976180000000,1158570000000,,,,930720000000,1980710000000
1,"September,  21 2012",,322150000000,959480000000,273510000000,130870000000,26530000000,528580000000,152220000000,1633570000000,826230000000,19510000000,171510000000,616310000000,81070000000,67220000000,266790000000,542290000000,1320110000000,169230000000,465610000000,342270000000,343000000000,68550000000,303220000000,405940000000,2781240000000,2103530000000,677710000000,1183910000000,286480000000,897420000000,576970000000,546260000000,507270000000,6585030000000,3644760000000,868840000000,1228790000000,,,,842640000000,1859300000000
2,"December,  28 2012",,350230000000,1046100000000,265150000000,159660000000,25870000000,595420000000,159550000000,1706810000000,847810000000,21320000000,181430000000,656250000000,85520000000,72150000000,268170000000,593760000000,1384200000000,192430000000,487760000000,353150000000,350860000000,69580000000,306860000000,444520000000,2996050000000,2256510000000,739540000000,1192930000000,294580000000,898350000000,569880000000,577850000000,490660000000,6980560000000,3864600000000,931200000000,1265110000000,,,,919640000000,1850020000000
3,"March,  22 2013",,346390000000,1173680000000,329760000000,170530000000,25820000000,647570000000,165110000000,1835360000000,924950000000,21970000000,189070000000,699360000000,86730000000,76690000000,282670000000,643270000000,1592440000000,268980000000,495420000000,441410000000,386630000000,74480000000,312170000000,458580000000,3141160000000,2365970000000,775190000000,1284470000000,334390000000,950080000000,588630000000,611440000000,521660000000,7297210000000,4158490000000,877650000000,1313120000000,,,,947960000000,1809680000000
4,"June,  28 2013",,317220700000,1231164000000,337914100000,182700700000,27309700000,683239500000,156147600000,1837244200000,917819500000,22136300000,191816100000,705472300000,90062300000,81358800000,292515700000,575281200000,1472649200000,224337100000,524327900000,326097100000,397887100000,76882200000,318124200000,464212100000,3208505200000,2449481900000,759023300000,1349908000000,294285000000,1055623000000,598765300000,668548100000,560356300000,7695997100000,4427325800000,889583700000,1411222200000,,,,967865400000,1770645600000
5,"September,  20 2013",,328890000000,1201530000000,317830000000,176150000000,33290000000,674270000000,159000000000,1855500000000,909460000000,21150000000,195690000000,729200000000,92500000000,84450000000,305980000000,602730000000,1707320000000,275600000000,532760000000,486280000000,412670000000,77190000000,334310000000,495400000000,3356760000000,2534410000000,822360000000,1393930000000,311970000000,1081970000000,646740000000,685890000000,565260000000,7931970000000,4591210000000,873620000000,1437020000000,,,,1030120000000,1841650000000
6,"December,  27 2013",,352150000000,1350330000000,296960000000,219200000000,32550000000,801630000000,163640000000,1927910000000,952560000000,19940000000,208630000000,746780000000,99180000000,89530000000,315470000000,574800000000,1645780000000,274220000000,506620000000,386930000000,478020000000,86010000000,350720000000,523980000000,3434340000000,2582310000000,852030000000,1381400000000,334170000000,1047240000000,646610000000,616730000000,577240000000,8037150000000,4683530000000,856260000000,1510660000000,,,,986690000000,1802620000000
7,"March,  21 2014",25164840000000,358450000000,1462540000000,344660000000,212930000000,32410000000,872530000000,182860000000,2022130000000,1007070000000,19980000000,215600000000,779470000000,102080000000,94230000000,328200000000,648400000000,1663360000000,305900000000,486550000000,421880000000,449030000000,87040000000,370710000000,539330000000,3607800000000,2673980000000,933820000000,1463620000000,346760000000,1116860000000,665330000000,698890000000,625710000000,8363560000000,4869020000000,882040000000,1578600000000,,,,1033900000000,1880600000000
8,"June,  27 2014",,373540000000,1487320000000,356340000000,207250000000,29000000000,894730000000,182590000000,1979370000000,979530000000,20820000000,201480000000,777550000000,99400000000,95750000000,330360000000,563340000000,1604490000000,316350000000,487560000000,353910000000,446690000000,88540000000,361480000000,532790000000,3553190000000,2646120000000,907060000000,1468650000000,346370000000,1122270000000,650120000000,679920000000,705020000000,8553630000000,5065570000000,827950000000,1619460000000,,,,1040650000000,1784970000000
9,"September,  19 2014",,385080000000,1408610000000,338700000000,176570000000,31060000000,862270000000,192110000000,1933670000000,949140000000,21580000000,194880000000,768060000000,100950000000,95230000000,332010000000,539490000000,1500740000000,214330000000,486320000000,355250000000,444840000000,87500000000,367210000000,544620000000,3582050000000,2651110000000,930950000000,1464960000000,353840000000,1111120000000,654730000000,691020000000,724540000000,8713090000000,5178410000000,851460000000,1639630000000,,,,1043580000000,1752980000000
10,"December,  26 2014",,372090000000,1522570000000,337250000000,205640000000,32240000000,947440000000,186620000000,1987660000000,980020000000,24040000000,198900000000,784700000000,103970000000,96870000000,339880000000,539750000000,1494100000000,241840000000,481960000000,329370000000,440940000000,88270000000,379950000000,555370000000,3686870000000,2729950000000,956910000000,1481540000000,351870000000,1129650000000,680860000000,705330000000,738520000000,8956280000000,5373550000000,864640000000,1668460000000,,,,1049630000000,1770140000000
11,"March,  20 2015",26576290000000,359510000000,1714950000000,414110000000,210640000000,31950000000,1058240000000,186480000000,2019190000000,1000450000000,22360000000,203570000000,792810000000,102470000000,98310000000,340660000000,561450000000,1544870000000,253960000000,492950000000,330740000000,467220000000,88390000000,377730000000,560380000000,3853890000000,2834290000000,1019610000000,1540050000000,367900000000,1172150000000,682090000000,718190000000,743030000000,9245310000000,5575670000000,918900000000,1686910000000,,,,1063830000000,1839340000000
12,"June,  26 2015",,358140000000,1608770000000,395230000000,194510000000,30070000000,988960000000,182610000000,1981580000000,977740000000,22150000000,209840000000,771850000000,100750000000,97450000000,339140000000,491880000000,1516430000000,232820000000,499130000000,341790000000,442690000000,87860000000,362870000000,562970000000,3828890000000,2846090000000,982800000000,1528250000000,387410000000,1140840000000,686370000000,704690000000,723530000000,9339240000000,5730510000000,892470000000,1675250000000,,,,1041020000000,1800040000000
