,Quarter,Banks,Cash Funds_Domestic Operation,Cash Funds_Global Operation,Cash Funds_Overseas Operation,Due from Banks/FIs/CCPs_Domestic Operation,Due from Banks/FIs/CCPs_Global Operation,Due from Banks/FIs/CCPs_Overseas Operation,SLR/Approved Securities_Domestic Operation,SLR/Approved Securities_Global Operation,SLR/Approved Securities_Overseas Operation,Non-SLR Investments_Domestic Operation,Non-SLR Investments_Global Operation,Non-SLR Investments_Overseas Operation,Net Loans and Advances_Domestic Operation,Net Loans and Advances_Global Operation,Net Loans and Advances_Overseas Operation,Fixed Assets (net)_Domestic Operation,Fixed Assets (net)_Global Operation,Fixed Assets (net)_Overseas Operation,Other Assets_Domestic Operation,Other Assets_Global Operation,Other Assets_Overseas Operation,Total Assets_Domestic Operation,Total Assets_Global Operation,Total Assets_Overseas Operation,Paid-up Share Capital_Domestic Operation,Paid-up Share Capital_Global Operation,Paid-up Share Capital_Overseas Operation,Reserves &amp; Surplus_Domestic Operation,Reserves &amp; Surplus_Global Operation,Reserves &amp; Surplus_Overseas Operation,Total Deposits (a+b)_Domestic Operation,Total Deposits (a+b)_Global Operation,Total Deposits (a+b)_Overseas Operation,a. Customer Deposits (i+ii+iii+iv+v)_Domestic Operation,a. Customer Deposits (i+ii+iii+iv+v)_Global Operation,a. Customer Deposits (i+ii+iii+iv+v)_Overseas Operation,i. Current Deposits_Domestic Operation,i. Current Deposits_Global Operation,i. Current Deposits_Overseas Operation,ii. Savings Deposits_Domestic Operation,ii. Savings Deposits_Global Operation,ii. Savings Deposits_Overseas Operation,iii. Time Deposits_Domestic Operation,iii. Time Deposits_Global Operation,iii. Time Deposits_Overseas Operation,iV. NRI Deposits_Domestic Operation,iV. NRI Deposits_Global Operation,iV. NRI Deposits_Overseas Operation,V. Certificates of Deposits _Domestic Operation,V. Certificates of Deposits _Global Operation,V. Certificates of Deposits _Overseas Operation,b. Deposits of Banks  (i+ii)_Domestic Operation,b. Deposits of Banks  (i+ii)_Global Operation,b. Deposits of Banks  (i+ii)_Overseas Operation,i. Banks in India_Domestic Operation,i. Banks in India_Global Operation,i. Banks in India_Overseas Operation,ii. Overseas Banks_Domestic Operation,ii. Overseas Banks_Global Operation,ii. Overseas Banks_Overseas Operation,Total Borrowings_Domestic Operation,Total Borrowings_Global Operation,Total Borrowings_Overseas Operation,Other liabilities_Domestic Operation,Other liabilities_Global Operation,Other liabilities_Overseas Operation,Total capital &amp; Liabilities_Domestic Operation,Total capital &amp; Liabilities_Global Operation,Total capital &amp; Liabilities_Overseas Operation,Foreign_Dummy,Private_Dummy,Public_Dummy,Small_Finance_Dummy
10,2012Q2,CITIBANK N.A,42898021000,,,47707232000,,,466477861000,,,4054958000,,,511730059000,,,13981006000,,,280675041000,,,1367524178000,,,37438375000,,,129325310000,,,683531359000,,,682218190000,,,208020572000,,,117477056000,,,201614014000,,,145255236000,,,9851312000,,,1313169000,,,1313169000,,,,,,260959955000,,,256269179000,,,1367524178000,,,1,0,0,0
11,2012Q2,COMMONWEALTH BANK OF AUSTRALIA,43885000,,,972952000,,,190605000,,,0,,,944205000,,,19220000,,,52888000,,,2223755000,,,1691843000,,,-264045000,,,214509000,,,214509000,,,5668000,,,4896000,,,36020000,,,167925000,,,0,,,0,,,0,,,,,,481070000,,,100378000,,,2223755000,,,1,0,0,0
12,2012Q2,COOPERATIEVE RABOBANK U.A.,69300000,,,43600000,,,2967800000,,,0,,,4220300000,,,11700000,,,436600000,,,7749300000,,,6000400000,,,45100000,,,807800000,,,807800000,,,40300000,,,100000,,,767400000,,,0,,,0,,,0,,,0,,,,,,570900000,,,325100000,,,7749300000,,,1,0,0,0
13,2012Q2,CREDIT AGRICOLE CORPORATE AND INVESTMENT BANK,2415800000,,,1319900000,,,21289500000,,,17148800000,,,15929400000,,,306900000,,,3818800000,,,62229100000,,,9783700000,,,7845400000,,,10432000000,,,10382800000,,,5663500000,,,25400000,,,4438800000,,,255100000,,,0,,,49200000,,,49200000,,,,,,31950300000,,,2217700000,,,62229100000,,,1,0,0,0
14,2012Q2,CREDIT SUISSE AG,682015000,,,385331000,,,17809232000,,,9216392000,,,2500000000,,,33757000,,,2650206000,,,33276933000,,,11350000000,,,1102997000,,,4067539000,,,4067539000,,,261063000,,,476000,,,3806000000,,,0,,,0,,,0,,,0,,,,,,16400114000,,,356283000,,,33276933000,,,1,0,0,0
15,2012Q2,"CTBC BANK CO., LTD.",253280000,,,643573000,,,410680000,,,65100000,,,2938462000,,,13873000,,,44092000,,,4369060000,,,1607425000,,,157820000,,,2355986000,,,2355986000,,,1312609000,,,34924000,,,1004104000,,,4349000,,,0,,,0,,,0,,,,,,179788000,,,68041000,,,4369060000,,,1,0,0,0
16,2012Q2,DBS BANK INDIA LTD.,11978973000,,,955711000,,,91626881000,,,71456572000,,,132532272000,,,378005000,,,118755537000,,,427683951000,,,14603321000,,,12307101000,,,120418338000,,,120418338000,,,5559283000,,,657613000,,,63666869000,,,50534573000,,,0,,,0,,,0,,,,,,170129184000,,,110226007000,,,427683951000,,,1,0,0,0
17,2012Q2,DEUTSCHE BANK AG,9461567000,,,6748479000,,,68025572000,,,20034487000,,,188345113000,,,1135895000,,,52511236000,,,346262349000,,,36314087000,,,30166585000,,,167856979000,,,167242275000,,,89300210000,,,8741529000,,,52584191000,,,16616345000,,,0,,,614704000,,,614704000,,,,,,48155083000,,,63769615000,,,346262349000,,,1,0,0,0
18,2012Q2,FIRSTRAND BANK LTD,178326000,,,22862000,,,2004412000,,,3775051000,,,1965707000,,,159131000,,,391607000,,,8497096000,,,4091540000,,,-492325000,,,241803000,,,227419000,,,53288000,,,20669000,,,153462000,,,0,,,0,,,14384000,,,14384000,,,,,,4423931000,,,232147000,,,8497096000,,,1,0,0,0
19,2012Q2,HONGKONG AND SHANGHAI BANKING CORPN.LTD.,39923500000,,,34438700000,,,263170100000,,,161091200000,,,358581200000,,,8309800000,,,286158500000,,,1151673000000,,,44991700000,,,110836600000,,,605530500000,,,587222000000,,,136505000000,,,59780600000,,,246088900000,,,144847500000,,,0,,,18308500000,,,18308500000,,,,,,94940200000,,,295374000000,,,1151673000000,,,1,0,0,0
