,Quarter,Banks,1. Total Interest Income (Net of Interest Tax) (April to Date)_Domestic Operation,1. Total Interest Income (Net of Interest Tax) (April to Date)_Global Operation,1. Total Interest Income (Net of Interest Tax) (April to Date)_Overseas Operation,2. Interest Expense (April to Date)_Domestic Operation,2. Interest Expense (April to Date)_Global Operation,2. Interest Expense (April to Date)_Overseas Operation,3. Net Interest Income (NII) (April to Date) [1 - 2]_Domestic Operation,3. Net Interest Income (NII) (April to Date) [1 - 2]_Global Operation,3. Net Interest Income (NII) (April to Date) [1 - 2]_Overseas Operation,4. Other Operating Income (OOI) (April to Date) _Domestic Operation,4. Other Operating Income (OOI) (April to Date) _Global Operation,4. Other Operating Income (OOI) (April to Date) _Overseas Operation,5. Total Operating Income (April to Date) [3 + 4]_Domestic Operation,5. Total Operating Income (April to Date) [3 + 4]_Global Operation,5. Total Operating Income (April to Date) [3 + 4]_Overseas Operation,6. Operating Expense (OE) (April to Date)_Domestic Operation,6. Operating Expense (OE) (April to Date)_Global Operation,6. Operating Expense (OE) (April to Date)_Overseas Operation,Of Which: Staff Expenses (April to Date)_Domestic Operation,Of Which: Staff Expenses (April to Date)_Global Operation,Of Which: Staff Expenses (April to Date)_Overseas Operation,7. Net Operating Income (April to Date) [5 - 6]_Domestic Operation,7. Net Operating Income (April to Date) [5 - 6]_Global Operation,7. Net Operating Income (April to Date) [5 - 6]_Overseas Operation,8. Capital Gains/(Losses) (April to Date)_Domestic Operation,8. Capital Gains/(Losses) (April to Date)_Global Operation,8. Capital Gains/(Losses) (April to Date)_Overseas Operation,9. Other Non-operating Income/ (expenses) (April to Date)_Domestic Operation,9. Other Non-operating Income/ (expenses) (April to Date)_Global Operation,9. Other Non-operating Income/ (expenses) (April to Date)_Overseas Operation,10. Earning Before Provisions &amp; Taxes (EBPT) (April to Date) [7 + 8 +9]_Domestic Operation,10. Earning Before Provisions &amp; Taxes (EBPT) (April to Date) [7 + 8 +9]_Global Operation,10. Earning Before Provisions &amp; Taxes (EBPT) (April to Date) [7 + 8 +9]_Overseas Operation,11. Risk Provisions - Total (April to Date)_Domestic Operation,11. Risk Provisions - Total (April to Date)_Global Operation,11. Risk Provisions - Total (April to Date)_Overseas Operation,12. Write Offs - Total (April to Date) _Domestic Operation,12. Write Offs - Total (April to Date) _Global Operation,12. Write Offs - Total (April to Date) _Overseas Operation,13. Provisions For Liabilities (April to Date) _Domestic Operation,13. Provisions For Liabilities (April to Date) _Global Operation,13. Provisions For Liabilities (April to Date) _Overseas Operation,14. Profit/Loss Before Tax (PBT) (April to Date) (10 - 11 - 12 - 13]_Domestic Operation,14. Profit/Loss Before Tax (PBT) (April to Date) (10 - 11 - 12 - 13]_Global Operation,14. Profit/Loss Before Tax (PBT) (April to Date) (10 - 11 - 12 - 13]_Overseas Operation,15. Provision For Income Taxes (April to Date) _Domestic Operation,15. Provision For Income Taxes (April to Date) _Global Operation,15. Provision For Income Taxes (April to Date) _Overseas Operation,16. Net Profit/Loss (PAT) (April to Date)  [14 - 15]_Domestic Operation,16. Net Profit/Loss (PAT) (April to Date)  [14 - 15]_Global Operation,16. Net Profit/Loss (PAT) (April to Date)  [14 - 15]_Overseas Operation,Foreign_Dummy,Private_Dummy,Public_Dummy,Small_Finance_Dummy
0,2012Q2,AB BANK LIMITED,15400000,,,2400000,,,13000000,,,41600000,,,54600000,,,23400000,,,2700000,,,31200000,,,0,,,0,,,31200000,,,0,,,0,,,0,,,31200000,,,0,,,31200000,,,1,0,0,0
1,2012Q2,ABU DHABI COMMERCIAL BANK PJSC,293982000,,,167453000,,,126529000,,,11088000,,,137617000,,,60270000,,,39393000,,,77347000,,,0,,,0,,,77347000,,,-3165000,,,0,,,0,,,80512000,,,34500000,,,46012000,,,1,0,0,0
2,2012Q2,AMERICAN EXPRESS BANKING CORP.,214673000,,,307882000,,,-93209000,,,1301171000,,,1207962000,,,1321313000,,,250631000,,,-113351000,,,-1647000,,,0,,,-114998000,,,-2220000,,,48375000,,,0,,,-161153000,,,0,,,-161153000,,,1,0,0,0
3,2012Q2,AUSTRALIA AND NEW ZEALAND BANKING GROUP LIMITED,514400000,,,340000000,,,174400000,,,42600000,,,217000000,,,312800000,,,174100000,,,-95800000,,,0,,,0,,,-95800000,,,37300000,,,0,,,0,,,-133100000,,,-41400000,,,-91700000,,,1,0,0,0
4,2012Q2,"BANK OF AMERICA , NATIONAL ASSOCIATION",3219424000,,,1421831000,,,1797593000,,,926924000,,,2724517000,,,834157000,,,517928000,,,1890360000,,,255000,,,0,,,1890615000,,,-27007000,,,0,,,0,,,1917622000,,,810000000,,,1107622000,,,1,0,0,0
5,2012Q2,BANK OF BAHRAIN & KUWAIT B.S.C.,253249000,,,100407000,,,152842000,,,18982000,,,171824000,,,49644000,,,24120000,,,122180000,,,1000,,,0,,,122181000,,,14561000,,,157000,,,0,,,107463000,,,44236000,,,63227000,,,1,0,0,0
6,2012Q2,BANK OF CEYLON,58868000,,,13432000,,,45436000,,,13315000,,,58751000,,,12337000,,,2646000,,,46414000,,,0,,,0,,,46414000,,,0,,,0,,,0,,,46414000,,,0,,,46414000,,,1,0,0,0
7,2012Q2,BANK OF NOVA SCOTIA,1797599000,,,995249000,,,802350000,,,642183000,,,1444533000,,,167794000,,,64856000,,,1276739000,,,-125000,,,0,,,1276614000,,,0,,,0,,,0,,,1276614000,,,504100000,,,772514000,,,1,0,0,0
8,2012Q2,BARCLAYS BANK PLC,4838586000,,,3002966000,,,1835620000,,,1102557000,,,2938177000,,,1489388000,,,770003000,,,1448789000,,,-13069000,,,0,,,1435720000,,,-432815000,,,267230000,,,-9770000,,,1611075000,,,731249000,,,879826000,,,1,0,0,0
9,2012Q2,BNP PARIBAS,2140200000,,,1080300000,,,1059900000,,,491100000,,,1551000000,,,964200000,,,311000000,,,586800000,,,0,,,0,,,586800000,,,-340300000,,,0,,,0,,,927100000,,,558900000,,,368200000,,,1,0,0,0
10,2012Q2,CITIBANK N.A,21687868000,,,9217051000,,,12470817000,,,5102936000,,,17573753000,,,7520242000,,,2759336000,,,10053511000,,,162194000,,,0,,,10215705000,,,-2329702000,,,608140000,,,0,,,11937267000,,,5016516000,,,6920751000,,,1,0,0,0
11,2012Q2,COMMONWEALTH BANK OF AUSTRALIA,40724000,,,2884000,,,37840000,,,12953000,,,50793000,,,67946000,,,26826000,,,-17153000,,,-12000,,,0,,,-17165000,,,250000,,,0,,,0,,,-17415000,,,0,,,-17415000,,,1,0,0,0
12,2012Q2,COOPERATIEVE RABOBANK U.A.,160471000,,,3448000,,,157023000,,,16102000,,,173125000,,,115812000,,,67837000,,,54847000,,,0,,,0,,,54847000,,,4780000,,,0,,,21040000,,,29027000,,,0,,,29027000,,,1,0,0,0
13,2012Q2,CREDIT AGRICOLE CORPORATE AND INVESTMENT BANK,1163100000,,,724600000,,,438500000,,,186700000,,,625200000,,,260800000,,,143600000,,,364400000,,,0,,,0,,,364400000,,,-139900000,,,0,,,0,,,504300000,,,250000000,,,254300000,,,1,0,0,0
14,2012Q2,CREDIT SUISSE AG,531125000,,,207990000,,,323135000,,,226347000,,,549482000,,,108006000,,,78357000,,,441476000,,,0,,,0,,,441476000,,,52307000,,,0,,,0,,,389169000,,,97836000,,,291333000,,,1,0,0,0
15,2012Q2,"CTBC BANK CO., LTD.",97132000,,,30901000,,,66231000,,,10738000,,,76969000,,,27426000,,,16970000,,,49543000,,,0,,,0,,,49543000,,,-889000,,,0,,,0,,,50432000,,,20000000,,,30432000,,,1,0,0,0
16,2012Q2,DBS BANK INDIA LTD.,5992685000,,,3471130000,,,2521555000,,,-39165000,,,2482390000,,,1077934000,,,506405000,,,1404456000,,,-1000,,,0,,,1404455000,,,537856000,,,-1500000,,,0,,,868099000,,,375694000,,,492405000,,,1,0,0,0
17,2012Q2,DEUTSCHE BANK AG,6564811000,,,1680936000,,,4883875000,,,2223658000,,,7107533000,,,2514824000,,,1215430000,,,4592709000,,,-15293000,,,0,,,4577416000,,,20616000,,,-7297000,,,0,,,4564097000,,,2065757000,,,2498340000,,,1,0,0,0
18,2012Q2,FIRSTRAND BANK LTD,176049000,,,63940000,,,112109000,,,56258000,,,168367000,,,196506000,,,107396000,,,-28247000,,,0,,,0,,,-28247000,,,0,,,0,,,0,,,-28247000,,,0,,,-28247000,,,1,0,0,0
19,2012Q2,HONGKONG AND SHANGHAI BANKING CORPN.LTD.,17066700000,,,6966600000,,,10100100000,,,5791200000,,,15891300000,,,6076000000,,,2670200000,,,9815300000,,,1700000,,,0,,,9817000000,,,-1034700000,,,0,,,0,,,10851700000,,,4560300000,,,6291400000,,,1,0,0,0
20,2012Q2,HSBC BANK OMAN S.A.O.G.,58300000,,,24800000,,,33500000,,,5600000,,,39100000,,,32900000,,,7400000,,,6200000,,,0,,,0,,,6200000,,,500000,,,-68600000,,,0,,,74300000,,,2200000,,,72100000,,,1,0,0,0
21,2012Q2,INDUSTRIAL AND COMMERCIAL BANK OF CHINA,109996000,,,0,,,109996000,,,25553000,,,135549000,,,41573000,,,21776000,,,93976000,,,0,,,0,,,93976000,,,1710000,,,0,,,0,,,92266000,,,5399000,,,86867000,,,1,0,0,0
22,2012Q2,JPMORGAN CHASE BANK NATIONAL ASSOCIATION,3943151000,,,1724586000,,,2218565000,,,988862000,,,3207427000,,,534701000,,,318615000,,,2672726000,,,0,,,0,,,2672726000,,,158000,,,0,,,0,,,2672568000,,,1080000000,,,1592568000,,,1,0,0,0
23,2012Q2,KBC BANK NV,151900000,,,62700000,,,89200000,,,73400000,,,162600000,,,35000000,,,22500000,,,127600000,,,0,,,0,,,127600000,,,79100000,,,0,,,0,,,48500000,,,51000000,,,-2500000,,,1,0,0,0
24,2012Q2,KRUNG THAI BANK PUBLIC COMPANY LIMITED,38801000,,,16876000,,,21925000,,,4149000,,,26074000,,,9178000,,,2672000,,,16896000,,,0,,,0,,,16896000,,,0,,,0,,,0,,,16896000,,,7151000,,,9745000,,,1,0,0,0
25,2012Q2,MASHREQ BANK PSC,23339000,,,452000,,,22887000,,,38148000,,,61035000,,,19472000,,,8284000,,,41563000,,,0,,,0,,,41563000,,,2079000,,,0,,,0,,,39484000,,,15700000,,,23784000,,,1,0,0,0
26,2012Q2,MIZUHO BANK LTD,872311000,,,55774000,,,816537000,,,295875000,,,1112412000,,,142780000,,,67800000,,,969632000,,,-252000,,,0,,,969380000,,,-4411000,,,0,,,0,,,973791000,,,320000000,,,653791000,,,1,0,0,0
27,2012Q2,MUFG Bank Ltd,1983100000,,,512900000,,,1470200000,,,149100000,,,1619300000,,,248500000,,,124400000,,,1370800000,,,100000,,,0,,,1370900000,,,20100000,,,0,,,0,,,1350800000,,,489900000,,,860900000,,,1,0,0,0
28,2012Q2,NATIONAL AUSTRALIA BANK,34372000,,,0,,,34372000,,,0,,,34372000,,,42991000,,,33650000,,,-8619000,,,0,,,0,,,-8619000,,,0,,,0,,,0,,,-8619000,,,0,,,-8619000,,,1,0,0,0
29,2012Q2,NatWest Markets Plc,4870728000,,,2266562000,,,2604166000,,,2439522000,,,5043688000,,,2708586000,,,1388923000,,,2335102000,,,89000,,,0,,,2335191000,,,-134509000,,,206594000,,,0,,,2263106000,,,951048000,,,1312058000,,,1,0,0,0
30,2012Q2,SBERBANK,31267000,,,0,,,31267000,,,0,,,31267000,,,27051000,,,17364000,,,4216000,,,0,,,0,,,4216000,,,0,,,0,,,0,,,4216000,,,0,,,4216000,,,1,0,0,0
31,2012Q2,SBM BANK (INDIA) LTD.,361185000,,,233365000,,,127820000,,,75977000,,,203797000,,,44597000,,,22161000,,,159277000,,,-20000,,,0,,,159257000,,,41513000,,,0,,,0,,,117744000,,,48861000,,,68883000,,,1,0,0,0
32,2012Q2,SHINHAN BANK,416737000,,,171822000,,,244915000,,,42896000,,,287811000,,,60622000,,,24167000,,,227189000,,,0,,,0,,,227189000,,,7839000,,,0,,,0,,,219350000,,,90500000,,,128850000,,,1,0,0,0
33,2012Q2,SOCIETE GENERALE,664059000,,,334332000,,,329727000,,,12565000,,,342292000,,,142614000,,,72129000,,,199678000,,,0,,,4311000,,,203989000,,,-72883000,,,0,,,0,,,276872000,,,116000000,,,160872000,,,1,0,0,0
34,2012Q2,SONALI BANK,6164000,,,1305000,,,4859000,,,23512000,,,28371000,,,8871000,,,4843000,,,19500000,,,0,,,0,,,19500000,,,1001000,,,0,,,0,,,18499000,,,0,,,18499000,,,1,0,0,0
35,2012Q2,STANDARD CHARTERED BANK,22520200000,,,10410600000,,,12109600000,,,6142200000,,,18251800000,,,6880600000,,,3224400000,,,11371200000,,,18900000,,,0,,,11390100000,,,1888000000,,,-107500000,,,0,,,9609600000,,,3169100000,,,6440500000,,,1,0,0,0
36,2012Q2,UBS AG,1095800000,,,432700000,,,663100000,,,-190200000,,,472900000,,,238300000,,,92700000,,,234600000,,,0,,,0,,,234600000,,,7800000,,,0,,,0,,,226800000,,,90800000,,,136000000,,,1,0,0,0
37,2012Q2,UNITED OVERSEAS BANK LTD,36199000,,,0,,,36199000,,,196000,,,36395000,,,26104000,,,8668000,,,10291000,,,0,,,0,,,10291000,,,0,,,0,,,0,,,10291000,,,4089000,,,6202000,,,1,0,0,0
38,2012Q2,WOORI BANK,28055000,,,231000,,,27824000,,,2072000,,,29896000,,,27350000,,,7460000,,,2546000,,,0,,,0,,,2546000,,,0,,,0,,,0,,,2546000,,,0,,,2546000,,,1,0,0,0
39,2012Q2,AXIS BANK LIMITED,61447900000,,,41073000000,,,20374900000,,,11826800000,,,32201700000,,,15209000000,,,5713200000,,,16992700000,,,-9000000,,,0,,,16983700000,,,1522000000,,,1086900000,,,1500000,,,14373300000,,,5513000000,,,8860300000,,,0,1,0,0
40,2012Q2,CITY UNION BANK LIMITED,5045100000,,,3662700000,,,1382400000,,,626600000,,,2009000000,,,857300000,,,382300000,,,1151700000,,,400000,,,0,,,1152100000,,,193700000,,,0,,,31000000,,,927400000,,,170000000,,,757400000,,,0,1,0,0
41,2012Q2,CSB BANK LIMITED,3073500000,,,2302400000,,,771100000,,,187900000,,,959000000,,,787000000,,,573200000,,,172000000,,,1100000,,,0,,,173100000,,,109900000,,,0,,,0,,,63200000,,,20500000,,,42700000,,,0,1,0,0
42,2012Q2,DCB BANK LIMITED,2135400000,,,1496100000,,,639300000,,,277400000,,,916700000,,,666100000,,,329200000,,,250600000,,,-2300000,,,0,,,248300000,,,59200000,,,0,,,0,,,189100000,,,0,,,189100000,,,0,1,0,0
43,2012Q2,FEDERAL BANK LTD,15271900000,,,10450700000,,,4821200000,,,1242500000,,,6063700000,,,2693800000,,,1528000000,,,3369900000,,,-200000,,,0,,,3369700000,,,434000000,,,10100000,,,0,,,2925600000,,,952300000,,,1973300000,,,0,1,0,0
44,2012Q2,HDFC BANK LTD.,79470499000,,,44909611000,,,34560888000,,,15146120000,,,49707008000,,,24229561000,,,9903705000,,,25477447000,,,-5341000,,,0,,,25472106000,,,4645093000,,,0,,,124699000,,,20702314000,,,6762420000,,,13939894000,,,0,1,0,0
45,2012Q2,ICICI BANK LIMITED,83848749000,,,55991639000,,,27857110000,,,16857642000,,,44714752000,,,20744602000,,,9640957000,,,24029601000,,,53035000,,,0,,,24082636000,,,2954891000,,,1599507000,,,0,,,19528238000,,,6080200000,,,13448038000,,,0,1,0,0
46,2012Q2,IDBI BANK LIMITED,61557484000,,,49280834000,,,12276650000,,,4714708000,,,16991358000,,,6533526000,,,3157162000,,,10737273000,,,1854000,,,0,,,10739127000,,,4997887000,,,52693000,,,17645000,,,5670902000,,,1948931000,,,3721971000,,,0,1,1,0
47,2012Q2,INDUSIND BANK LTD,16320350000,,,11479415000,,,4840935000,,,3186745000,,,8027680000,,,3988481000,,,1525626000,,,4039199000,,,1036000,,,0,,,4040235000,,,277271000,,,257733000,,,0,,,3505231000,,,1142677000,,,2362554000,,,0,1,0,0
48,2012Q2,ING VYSYA BANK LTD,11713929000,,,8281300000,,,3432629000,,,1709714000,,,5142343000,,,2987291000,,,1787504000,,,2155052000,,,2000,,,0,,,2155054000,,,266771000,,,0,,,0,,,1888283000,,,600536000,,,1287747000,,,0,1,0,0
49,2012Q2,JAMMU & KASHMIR BANK LTD,14777500000,,,9405300000,,,5372200000,,,933700000,,,6305900000,,,2175700000,,,1390200000,,,4130200000,,,0,,,0,,,4130200000,,,544800000,,,0,,,0,,,3585400000,,,1180000000,,,2405400000,,,0,1,0,0
50,2012Q2,KARNATAKA BANK LTD,8973386000,,,6714437000,,,2258949000,,,913138000,,,3172087000,,,1482820000,,,853787000,,,1689267000,,,93000,,,0,,,1689360000,,,570601000,,,0,,,0,,,1118759000,,,284409000,,,834350000,,,0,1,0,0
51,2012Q2,KARUR VYSYA BANK LTD,10053848000,,,7515865000,,,2537983000,,,1044175000,,,3582158000,,,1555392000,,,749247000,,,2026766000,,,117000,,,0,,,2026883000,,,-99764000,,,0,,,0,,,2126647000,,,667100000,,,1459547000,,,0,1,0,0
52,2012Q2,KOTAK MAHINDRA BANK LTD.,18158330000,,,10945275000,,,7213055000,,,2411375000,,,9624430000,,,5140789000,,,2565513000,,,4483641000,,,121000,,,0,,,4483762000,,,-383649000,,,725030000,,,0,,,4142381000,,,1317900000,,,2824481000,,,0,1,0,0
53,2012Q2,LAKSHMI VILAS BANK LTD,4200068000,,,3397898000,,,802170000,,,415614000,,,1217784000,,,748351000,,,380049000,,,469433000,,,213000,,,0,,,469646000,,,172156000,,,0,,,130047000,,,167443000,,,30000000,,,137443000,,,0,1,0,0
54,2012Q2,NAINITAL BANK LTD,979943000,,,601320000,,,378623000,,,64390000,,,443013000,,,178202000,,,120132000,,,264811000,,,270000,,,0,,,265081000,,,21486000,,,0,,,0,,,243595000,,,61500000,,,182095000,,,0,1,0,0
55,2012Q2,RBL BANK LIMITED,1794951000,,,1220253000,,,574698000,,,246325000,,,821023000,,,457499000,,,280153000,,,363524000,,,6000,,,0,,,363530000,,,9172000,,,0,,,0,,,354358000,,,116000000,,,238358000,,,0,1,0,0
56,2012Q2,SOUTH INDIAN BANK LTD,10656091000,,,7726460000,,,2929631000,,,788411000,,,3718042000,,,1642687000,,,1001686000,,,2075355000,,,-405000,,,0,,,2074950000,,,253916000,,,0,,,0,,,1821034000,,,590600000,,,1230434000,,,0,1,0,0
57,2012Q2,TAMILNAD MERCANTILE BANK LTD,5865881000,,,3859282000,,,2006599000,,,561353000,,,2567952000,,,1133602000,,,695160000,,,1434350000,,,33000,,,0,,,1434383000,,,93765000,,,0,,,0,,,1340618000,,,435000000,,,905618000,,,0,1,0,0
58,2012Q2,THE DHANALAKSHMI BANK LTD,3454000000,,,2688300000,,,765700000,,,194300000,,,960000000,,,1059900000,,,548700000,,,-99900000,,,0,,,0,,,-99900000,,,57900000,,,2700000,,,0,,,-160500000,,,0,,,-160500000,,,0,1,0,0
59,2012Q2,YES BANK LTD.,18863400000,,,14141600000,,,4721800000,,,2881100000,,,7602900000,,,3006800000,,,1552000000,,,4592300000,,,0,,,0,,,4592300000,,,424400000,,,19400000,,,-147600000,,,4296100000,,,1394700000,,,2901400000,,,0,1,0,0
60,2012Q2,ALLAHABAD BANK,44079380000,,,31237887000,,,12841493000,,,3086033000,,,15927526000,,,6579352000,,,4352354000,,,9348174000,,,0,,,0,,,9348174000,,,3124669000,,,0,,,0,,,6223505000,,,1250000000,,,4973505000,,,0,0,1,0
61,2012Q2,ANDHRA BANK,31214900000,,,21830100000,,,9384800000,,,2356500000,,,11741300000,,,4708300000,,,2967500000,,,7033000000,,,800000,,,0,,,7033800000,,,2065500000,,,0,,,0,,,4968300000,,,1350000000,,,3618300000,,,0,0,1,0
62,2012Q2,BANK OF BARODA,74902213000,,,51813516000,,,23088697000,,,6140139000,,,29228836000,,,12132962000,,,7090662000,,,17095874000,,,1371000,,,0,,,17097245000,,,7106104000,,,105127000,,,0,,,9886014000,,,1117888000,,,8768126000,,,0,0,1,0
63,2012Q2,BANK OF INDIA,68065100000,,,51037100000,,,17028000000,,,7392300000,,,24420300000,,,11299800000,,,6396300000,,,13120500000,,,0,,,0,,,13120500000,,,3947600000,,,0,,,0,,,9172900000,,,2512000000,,,6660900000,,,0,0,1,0
64,2012Q2,BANK OF MAHARASHTRA,20384979000,,,13874124000,,,6510855000,,,1787091000,,,8297946000,,,3896788000,,,2594880000,,,4401158000,,,924000,,,0,,,4402082000,,,3156518000,,,0,,,0,,,1245564000,,,-159000000,,,1404564000,,,0,0,1,0
65,2012Q2,CANARA BANK,83259274000,,,65295807000,,,17963467000,,,6857505000,,,24820972000,,,11334668000,,,7394274000,,,13486304000,,,860000,,,0,,,13487164000,,,4141757000,,,0,,,0,,,9345407000,,,1925746000,,,7419661000,,,0,0,1,0
66,2012Q2,CENTRAL BANK OF INDIA,53026200000,,,39249700000,,,13776500000,,,3223600000,,,17000100000,,,9071900000,,,6409000000,,,7928200000,,,-100000,,,0,,,7928100000,,,3529400000,,,0,,,0,,,4398700000,,,1039200000,,,3359500000,,,0,0,1,0
67,2012Q2,CORPORATION BANK,36506218000,,,28421917000,,,8084301000,,,3278605000,,,11362906000,,,4661825000,,,2390269000,,,6701081000,,,-2474000,,,0,,,6698607000,,,2166012000,,,0,,,0,,,4532595000,,,830000000,,,3702595000,,,0,0,1,0
68,2012Q2,DENA BANK,21371324000,,,15249610000,,,6121714000,,,1417115000,,,7538829000,,,2959737000,,,1721675000,,,4579092000,,,87000,,,0,,,4579179000,,,1017699000,,,16389000,,,0,,,3545091000,,,1158800000,,,2386291000,,,0,0,1,0
69,2012Q2,IDBI BANK LIMITED,61557484000,,,49280834000,,,12276650000,,,4714708000,,,16991358000,,,6533526000,,,3157162000,,,10737273000,,,1854000,,,0,,,10739127000,,,4997887000,,,52693000,,,17645000,,,5670902000,,,1948931000,,,3721971000,,,0,1,1,0
70,2012Q2,INDIAN BANK,33158500000,,,21891300000,,,11267200000,,,2090000000,,,13357200000,,,5268700000,,,3639400000,,,8088500000,,,-200000,,,700000,,,8089000000,,,1488400000,,,0,,,0,,,6600600000,,,2300000000,,,4300600000,,,0,0,1,0
71,2012Q2,INDIAN OVERSEAS BANK,48256967000,,,35930883000,,,12326084000,,,4061549000,,,16387633000,,,8370590000,,,5530047000,,,7333574000,,,234000,,,0,,,7333808000,,,4958078000,,,10000000,,,50000000,,,2315730000,,,850000000,,,1465730000,,,0,0,1,0
72,2012Q2,ORIENTAL BANK OF COMMERCE,42846000000,,,31613300000,,,11232700000,,,4096700000,,,15329400000,,,6382200000,,,3752900000,,,8947200000,,,400000,,,0,,,8947600000,,,3997400000,,,0,,,0,,,4950200000,,,1650000000,,,3300200000,,,0,0,1,0
73,2012Q2,PUNJAB AND SIND BANK,17582585000,,,13893908000,,,3688677000,,,858777000,,,4547454000,,,2776121000,,,2025620000,,,1771333000,,,119000,,,0,,,1771452000,,,854806000,,,514000,,,0,,,916132000,,,675852000,,,240280000,,,0,0,1,0
74,2012Q2,PUNJAB NATIONAL BANK,105038980000,,,67336658000,,,37702322000,,,7343988000,,,45046310000,,,18191062000,,,12120218000,,,26855248000,,,10672000,,,0,,,26865920000,,,9087153000,,,0,,,0,,,17778767000,,,5920000000,,,11858767000,,,0,0,1,0
75,2012Q2,STATE BANK OF BIKANER AND JAIPUR,18325500000,,,11762500000,,,6563000000,,,1535500000,,,8098500000,,,3409400000,,,2270400000,,,4689100000,,,0,,,0,,,4689100000,,,2257200000,,,0,,,0,,,2431900000,,,756300000,,,1675600000,,,0,0,1,0
76,2012Q2,STATE BANK OF HYDERABAD,29969062000,,,20351011000,,,9618051000,,,2191571000,,,11809622000,,,4988064000,,,3324721000,,,6821558000,,,0,,,0,,,6821558000,,,160900000,,,2433900000,,,0,,,4226758000,,,875000000,,,3351758000,,,0,0,1,0
77,2012Q2,STATE BANK OF INDIA,1091968000000,,,677929600000,,,414038400000,,,128624400000,,,542662800000,,,249371200000,,,161952400000,,,293291600000,,,-7200000,,,0,,,293284400000,,,93772400000,,,636000000,,,-118400000,,,198994400000,,,71862000000,,,127132400000,,,0,0,1,0
78,2012Q2,STATE BANK OF MYSORE,14354371000,,,9962781000,,,4391590000,,,1313328000,,,5704918000,,,2718689000,,,1567703000,,,2986229000,,,-496000,,,0,,,2985733000,,,2335407000,,,0,,,0,,,650326000,,,252384000,,,397942000,,,0,0,1,0
79,2012Q2,STATE BANK OF PATIALA,23770200000,,,17186600000,,,6583600000,,,1621800000,,,8205400000,,,3795300000,,,2391500000,,,4410100000,,,0,,,0,,,4410100000,,,612700000,,,0,,,0,,,3797400000,,,1557300000,,,2240100000,,,0,0,1,0
80,2012Q2,STATE BANK OF TRAVANCORE,20628945000,,,15724934000,,,4904011000,,,1791715000,,,6695726000,,,3297220000,,,2054527000,,,3398506000,,,-771000,,,0,,,3397735000,,,1164533000,,,0,,,-128098000,,,2361300000,,,546900000,,,1814400000,,,0,0,1,0
81,2012Q2,SYNDICATE BANK,40538586000,,,28112381000,,,12426205000,,,2208091000,,,14634296000,,,7184274000,,,4926029000,,,7450022000,,,-218000,,,0,,,7449804000,,,3831185000,,,19619000,,,199000000,,,3400000000,,,-100000000,,,3500000000,,,0,0,1,0
82,2012Q2,UCO BANK,40855400000,,,30711800000,,,10143600000,,,2185200000,,,12328800000,,,4826900000,,,3252300000,,,7501900000,,,0,,,0,,,7501900000,,,3993300000,,,0,,,0,,,3508600000,,,44500000,,,3464100000,,,0,0,1,0
83,2012Q2,UNION BANK OF INDIA,59342000000,,,41695300000,,,17646700000,,,4954300000,,,22601000000,,,10436000000,,,6787900000,,,12165000000,,,400000,,,0,,,12165400000,,,5048800000,,,0,,,0,,,7116600000,,,2285800000,,,4830800000,,,0,0,1,0
84,2012Q2,UNITED BANK OF INDIA,22838061000,,,16002368000,,,6835693000,,,2152927000,,,8988620000,,,3527594000,,,2259157000,,,5461026000,,,0,,,0,,,5461026000,,,2902108000,,,0,,,0,,,2558918000,,,820000000,,,1738918000,,,0,0,1,0
85,2012Q2,VIJAYA BANK,21973148000,,,17422555000,,,4550593000,,,1226249000,,,5776842000,,,3188140000,,,1994757000,,,2588702000,,,0,,,0,,,2588702000,,,1300269000,,,4871000,,,0,,,1283562000,,,170000000,,,1113562000,,,0,0,1,0
86,2012Q3,AB BANK LIMITED,33600000,,,5900000,,,27700000,,,94300000,,,122000000,,,49900000,,,5500000,,,72100000,,,0,,,0,,,72100000,,,0,,,0,,,0,,,72100000,,,0,,,72100000,,,1,0,0,0
87,2012Q3,ABU DHABI COMMERCIAL BANK PJSC,571515000,,,325958000,,,245557000,,,29497000,,,275054000,,,111464000,,,67844000,,,163590000,,,0,,,0,,,163590000,,,-12165000,,,0,,,0,,,175755000,,,70500000,,,105255000,,,1,0,0,0
88,2012Q3,AMERICAN EXPRESS BANKING CORP.,437145000,,,600184000,,,-163039000,,,2693932000,,,2530893000,,,2673164000,,,509598000,,,-142271000,,,-1500000,,,0,,,-143771000,,,-5467000,,,159358000,,,0,,,-297662000,,,0,,,-297662000,,,1,0,0,0
89,2012Q3,AUSTRALIA AND NEW ZEALAND BANKING GROUP LIMITED,1263300000,,,827100000,,,436200000,,,94600000,,,530800000,,,682200000,,,376600000,,,-151400000,,,0,,,0,,,-151400000,,,416800000,,,0,,,0,,,-568200000,,,-276500000,,,-291700000,,,1,0,0,0
90,2012Q3,"BANK OF AMERICA , NATIONAL ASSOCIATION",6228496000,,,2573190000,,,3655306000,,,1047833000,,,4703139000,,,1695532000,,,1089828000,,,3007607000,,,-108000,,,0,,,3007499000,,,-76942000,,,6978000,,,0,,,3077463000,,,1299184000,,,1778279000,,,1,0,0,0
